                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26207,                0.82086,                      1,                0.58017,             0.00023584,             0.00023584,             0.00023584
                      2,                0.09306,                0.86168,                      1,                 0.5316,             0.00031747,             0.00031747,             0.00031747
                      3,                0.03994,                0.87528,                      1,                0.51557,             0.00024202,             0.00024202,             0.00024202
